Lig	Rec	LigRec	pathway	evidence
MSTN	TGFBR1	MSTN_TGFBR1	MSTN	KEGG: hsa04060;PMID: 22710174
MSTN	ACVR2B	MSTN_ACVR2B	MSTN	KEGG: hsa04060;PMID: 22710174;11459935
MSTN	ACVR1B	MSTN_ACVR1B	MSTN	KEGG: hsa04060;PMID: 22710174
MSTN	ACVR2A	MSTN_ACVR2A	MSTN	KEGG: hsa04060;PMID: 22710174
AMH	AMHR2	AMH_AMHR2	AMH	KEGG: hsa04060;PMID: 22710174;7997230;7997230,889
AMH	ACVR1	AMH_ACVR1	AMH	KEGG: hsa04060;PMID: 22710174;14656470
AMH	BMPR1A	AMH_BMPR1A	AMH	KEGG: hsa04060;PMID: 22710174
NODAL	ACVR1B	NODAL_ACVR1B	NODAL	KEGG: hsa04350; PMID: 17287255;PMID: 22710174;11952836
NODAL	ACVR2A	NODAL_ACVR2A	NODAL	KEGG: hsa04350; PMID: 17287255;11952836
NODAL	CFC1	NODAL_CFC1	NODAL	KEGG: hsa04350; PMID: 17287255
NODAL	ACVR1C	NODAL_ACVR1C	NODAL	KEGG: hsa04350; PMID: 17287255;12606401
NODAL	ACVR2B	NODAL_ACVR2B	NODAL	KEGG: hsa04350; PMID: 17287255;PMID: 22710174;11952836
GDF1	ACVR1B	GDF1_ACVR1B	NODAL	KEGG: hsa04350; PMID: 17287255;PMID: 22710174;32196115;
GDF1	ACVR2A	GDF1_ACVR2A	NODAL	KEGG: hsa04350; PMID: 17287255;24798330;
GDF1	CFC1	GDF1_CFC1	NODAL	KEGG: hsa04350; PMID: 17287255
GDF1	ACVR1C	GDF1_ACVR1C	NODAL	KEGG: hsa04350; PMID: 17287255
GDF1	ACVR2B	GDF1_ACVR2B	NODAL	KEGG: hsa04350; PMID: 17287255;PMID: 22710174;32196115;
GDF3	ACVR1B	GDF3_ACVR1B	NODAL	KEGG: hsa04350; PMID: 17287255;PMID: 22710174
GDF3	ACVR2A	GDF3_ACVR2A	NODAL	KEGG: hsa04350; PMID: 17287255
GDF3	CFC1	GDF3_CFC1	NODAL	KEGG: hsa04350; PMID: 17287255
GDF3	ACVR1C	GDF3_ACVR1C	NODAL	KEGG: hsa04350; PMID: 17287255
GDF3	ACVR2B	GDF3_ACVR2B	NODAL	KEGG: hsa04350; PMID: 17287255;PMID: 22710174
INHBA	ACVR1B	INHBA_ACVR1B	ACTIVIN	KEGG: hsa04350;KEGG: hsa04351;PMID: 22710174 & rndsystem webpage; PMID: 22991378;8167568;8167568,84
INHBA	ACVR2A	INHBA_ACVR2A	ACTIVIN	KEGG: hsa04350;PMID: 22710174 & rndsystem webpage; PMID: 22991378;less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage;12466190;12466190,11
INHBA	ACVR2B	INHBA_ACVR2B	ACTIVIN	KEGG: hsa04351;PMID: 22710174 & rndsystem webpage; PMID: 22991378;less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage;9202237
INHBB	ACVR1B	INHBB_ACVR1B	ACTIVIN	KEGG: hsa04352;KEGG: hsa04353;PMID: 22710174 & rndsystem webpage; PMID: 22991378;11266516;11266516,12032389,15196700
INHBB	ACVR2A	INHBB_ACVR2A	ACTIVIN	KEGG: hsa04352;KEGG: hsa04354;PMID: 22710174 & rndsystem webpage; PMID: 22991378;less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage;12466190;12466190,11
INHBB	ACVR2B	INHBB_ACVR2B	ACTIVIN	KEGG: hsa04353;KEGG: hsa04355;PMID: 22710174 & rndsystem webpage; PMID: 22991378;less common binding; PMID: 22710174; PMID: 22991378  & rndsystem webpage;9202237
INHBB	ACVR1C	INHBB_ACVR1C	ACTIVIN	KEGG: hsa04354;KEGG: hsa04355;PMID: 22710174 & rndsystem webpage; PMID: 22991378;15196700
INHBC	ACVR1B	INHBC_ACVR1B	ACTIVIN	KEGG: hsa04356;KEGG: hsa04357;26198319,32196115;12651901
INHBC	ACVR2A	INHBC_ACVR2A	ACTIVIN	KEGG: hsa04356;KEGG: hsa04358;PMID: 22710174;22710174;12651901
INHBC	ACVR2B	INHBC_ACVR2B	ACTIVIN	KEGG: hsa04357;KEGG: hsa04359;PMID: 22710174;22710174;12651901
INHBC	ACVR1C	INHBC_ACVR1C	ACTIVIN	KEGG: hsa04358;KEGG: hsa04359
INHBE	ACVR1B	INHBE_ACVR1B	ACTIVIN	KEGG: hsa04360;KEGG: hsa04361
INHBE	ACVR2A	INHBE_ACVR2A	ACTIVIN	KEGG: hsa04360;KEGG: hsa04362;PMID: 22710174;22710174
INHBE	ACVR2B	INHBE_ACVR2B	ACTIVIN	KEGG: hsa04361;KEGG: hsa04363;PMID: 22710174;22710174;
INHBE	ACVR1C	INHBE_ACVR1C	ACTIVIN	KEGG: hsa04362;KEGG: hsa04363
WNT1	FZD1	WNT1_FZD1	WNT	KEGG: hsa04310; PMID: 23209147;PMID: 24032637;24032637;
WNT1	LRP5	WNT1_LRP5	WNT	KEGG: hsa04310; PMID: 23209147;11336703
WNT1	FZD10	WNT1_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT1	FZD2	WNT1_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT1	FZD3	WNT1_FZD3	WNT	KEGG: hsa04310; PMID: 23209147;14642436
WNT1	FZD4	WNT1_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT1	FZD5	WNT1_FZD5	WNT	KEGG: hsa04310; PMID: 23209147;32196115;
WNT1	FZD6	WNT1_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT1	FZD7	WNT1_FZD7	WNT	KEGG: hsa04310; PMID: 23209147;32196115;
WNT1	FZD8	WNT1_FZD8	WNT	KEGG: hsa04310; PMID: 23209147;15454084
WNT1	FZD9	WNT1_FZD9	WNT	KEGG: hsa04310; PMID: 23209147;9147651
WNT10A	FZD1	WNT10A_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	LRP5	WNT10A_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD10	WNT10A_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD2	WNT10A_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD3	WNT10A_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD4	WNT10A_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD5	WNT10A_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD6	WNT10A_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD7	WNT10A_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD8	WNT10A_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
WNT10A	FZD9	WNT10A_FZD9	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD1	WNT10B_FZD1	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	LRP5	WNT10B_LRP5	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD10	WNT10B_FZD10	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD2	WNT10B_FZD2	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD3	WNT10B_FZD3	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD4	WNT10B_FZD4	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD5	WNT10B_FZD5	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD6	WNT10B_FZD6	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD7	WNT10B_FZD7	WNT	KEGG: hsa04310; PMID: 23209147
WNT10B	FZD8	WNT10B_FZD8	WNT	KEGG: hsa04310; PMID: 23209147
